Num_Restaurants,TotTimeElapsed_sec,ScrapeTime_sec
474,1550.09,3.79
475,1553.59,3.5
476,1556.19,2.6
477,1559.55,3.36
478,1563.3,3.75
479,1566.86,3.56
480,1570.69,3.83
481,1573.59,2.9
482,1577.12,3.53
483,1580.22,3.1
484,1583.48,3.26
485,1586.95,3.47
486,1589.66,2.71
487,1593.72,4.06
488,1597,3.28
489,1600.48,3.48
490,1603.84,3.36
491,1607.08,3.24
492,1609.81,2.73
493,1613.66,3.85
494,1616.67,3.01
495,1619.14,2.47
496,1622.02,2.88
497,1625.77,3.75
498,1628.62,2.85
499,1632.3,3.68
500,1635.89,3.59
501,1639.22,3.33
502,1642.77,3.55
503,1646.3,3.53
504,1649.42,3.12
505,1651.91,2.49
506,1654.7,2.79
507,1657.3,2.6
508,1660.7,3.4
509,1663.81,3.11
510,1667.39,3.58
511,1670.12,2.73
512,1673.36,3.24
513,1676.48,3.12
514,1680.39,3.91
515,1683.66,3.27
516,1686.84,3.18
517,1690.62,3.78
518,1694.72,4.1
519,1698.41,3.69
520,1702.11,3.7
521,1712.92,10.81
522,1716.52,3.6
523,1718.94,2.42
524,1721.53,2.59
525,1725.27,3.74
526,1728.48,3.21
527,1730.89,2.41
528,1734.14,3.25
529,1737.67,3.53
530,1740.83,3.16
531,1744.05,3.22
532,1747.83,3.78
533,1752.52,4.69
534,1755.92,3.4
535,1759.45,3.53
536,1762.72,3.27
537,1767,4.28
538,1770.61,3.61
539,1773.27,2.66
540,1776.86,3.59
541,1779.52,2.66
542,1782.89,3.37
543,1786.08,3.19
544,1788.92,2.84
545,1791.5,2.58
546,1794.98,3.48
547,1797.48,2.5
548,1801.67,4.19
549,1804.45,2.78
550,1807.97,3.52
551,1811.78,3.81
552,1814.17,2.39
553,1817.08,2.91
554,1820.69,3.61
555,1824.31,3.62
556,1826.77,2.46
557,1830.69,3.92
558,1834.25,3.56
559,1837.3,3.05
560,1839.92,2.62
561,1854.05,14.13
562,1857.92,3.87
563,1861.28,3.36
564,1865.17,3.89
565,1867.95,2.78
566,1871.06,3.11
567,1873.78,2.72
568,1877.53,3.75
569,1881.03,3.5
570,1883.94,2.91
571,1886.92,2.98
572,1889.89,2.97
573,1893.22,3.33
574,1896.56,3.34
575,1900.03,3.47
576,1902.87,2.84
577,1906.14,3.27
578,1909.28,3.14
579,1911.94,2.66
580,1915.03,3.09
581,1918.89,3.86
582,1922.19,3.3
583,1925.53,3.34
584,1928.3,2.77
585,1932.59,4.29
586,1935.83,3.24
587,1938.55,2.72
588,1942,3.45
589,1944.92,2.92
590,1948.36,3.44
591,1952.28,3.92
592,1955.08,2.8
593,1958.91,3.83
594,1962.77,3.86
595,1966,3.23
596,1968.95,2.95
597,1971.86,2.91
598,1975.23,3.37
599,1977.7,2.47
600,1980.58,2.88
601,1983.36,2.78
602,1986.42,3.06
603,1989.16,2.74
604,1993.17,4.01
605,1996.56,3.39
606,1999.11,2.55
607,2002.78,3.67
608,2006.11,3.33
609,2009.06,2.95
610,2012.52,3.46
611,2015.37,2.85
612,2019.14,3.77
613,2022.25,3.11
614,2025.7,3.45
615,2029.3,3.6
616,2032.45,3.15
617,2035.61,3.16
618,2038.83,3.22
619,2042.34,3.51
620,2044.97,2.63
621,2047.45,2.48
622,2051.28,3.83
623,2054.48,3.2
624,2057.84,3.36
625,2061.22,3.38
626,2064.09,2.87
627,2067.27,3.18
628,2069.69,2.42
629,2072.61,2.92
630,2076.28,3.67
631,2079.06,2.78
632,2082.2,3.14
633,2085.61,3.41
634,2088.34,2.73
635,2091.02,2.68
636,2093.48,2.46
637,2096.19,2.71
638,2099.16,2.97
639,2102.36,3.2
640,2105.7,3.34
641,2108.58,2.88
